epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.48	10.9	2.29	10.8
1	0:0	0.1	2.15	17.1	2.05	22.9
2	0:0	0.1	1.85	28.6	1.78	32.4
3	0:0	0.1	1.73	34.4	1.71	35.7
4	0:0	0.1	1.65	37.8	1.71	37.3
5	0:0	0.1	1.57	41.7	1.51	44.2
6	0:0	0.1	1.49	45.0	1.51	45.6
7	0:0	0.1	1.43	47.6	1.39	49.3
8	0:0	0.1	1.36	50.5	1.33	51.5
9	0:0	0.1	1.3	53.2	1.38	50.6
10	0:0	0.1	1.24	55.4	1.34	53.2
11	0:0	0.1	1.17	58.2	1.29	55.1
12	0:0	0.1	1.12	60.0	1.18	57.8
13	0:0	0.1	1.07	61.8	1.14	60.2
14	0:0	0.1	1.04	63.1	1.06	63.0
15	0:0	0.1	1.0	64.6	1.07	62.8
16	0:0	0.1	0.969	65.7	0.996	64.8
17	0:0	0.1	0.941	66.6	0.991	66.0
18	0:0	0.1	0.917	67.5	1.1	62.4
19	0:0	0.1	0.906	68.0	0.974	66.0
20	0:0	0.1	0.881	69.0	0.975	65.6
21	0:0	0.1	0.868	69.5	0.958	66.8
22	0:0	0.1	0.856	69.8	0.897	68.9
23	0:0	0.1	0.838	70.2	0.969	66.6
24	0:0	0.1	0.819	71.1	0.885	69.0
25	0:0	0.1	0.815	71.1	1.02	65.0
26	0:0	0.1	0.799	72.0	0.91	68.3
27	0:0	0.1	0.79	72.2	0.887	69.4
28	0:0	0.1	0.78	72.4	0.937	68.0
29	0:0	0.1	0.765	72.8	0.866	70.6
30	0:0	0.001	0.68	76.3	0.747	74.5
31	0:0	0.01	0.653	77.0	0.753	74.1
32	0:0	0.01	0.64	77.3	0.733	74.7
33	0:0	0.01	0.63	77.8	0.74	74.9
34	0:0	0.01	0.626	78.1	0.734	75.0
35	0:0	0.01	0.622	77.9	0.734	74.5
36	0:0	0.01	0.615	78.4	0.745	74.5
37	0:0	0.01	0.61	78.5	0.714	75.3
38	0:0	0.01	0.601	79.0	0.722	75.0
39	0:0	0.01	0.601	78.8	0.719	75.5
40	0:0	0.01	0.595	79.0	0.742	74.8
41	0:0	0.01	0.592	79.1	0.717	75.5
42	0:0	0.01	0.593	79.2	0.718	75.6
43	0:0	0.01	0.588	79.2	0.723	75.4
44	0:0	0.01	0.578	79.6	0.721	75.9
45	0:0	0.01	0.581	79.4	0.73	75.4
46	0:0	0.01	0.58	79.5	0.728	75.5
47	0:0	0.01	0.572	79.7	0.731	75.6
48	0:0	0.01	0.569	79.8	0.738	75.0
49	0:0	0.01	0.563	80.0	0.742	74.8
50	0:0	0.01	0.561	80.3	0.744	74.9
51	0:0	0.01	0.557	80.1	0.734	75.1
52	0:0	0.01	0.557	80.3	0.745	74.7
53	0:0	0.01	0.557	80.3	0.725	75.4
54	0:0	0.01	0.551	80.7	0.723	75.7
55	0:0	0.01	0.548	80.6	0.739	75.0
56	0:0	0.01	0.542	80.8	0.737	75.3
57	0:0	0.01	0.541	81.1	0.723	75.6
58	0:0	0.01	0.54	80.8	0.736	75.4
59	0:0	0.01	0.536	81.1	0.73	75.6
60	0:0	0.0001	0.518	81.8	0.708	75.9
61	0:0	0.001	0.512	81.9	0.711	76.3
62	0:0	0.001	0.509	82.1	0.724	75.9
63	0:0	0.001	0.507	81.9	0.709	76.4
64	0:0	0.001	0.506	82.2	0.713	76.6
65	0:0	0.001	0.505	82.2	0.73	75.8
66	0:0	0.001	0.506	82.0	0.729	75.5
67	0:0	0.001	0.505	82.1	0.717	76.5
68	0:0	0.001	0.502	82.3	0.719	76.1
69	0:0	0.001	0.499	82.4	0.716	76.2
70	0:0	0.001	0.504	82.2	0.713	76.3
71	0:0	0.001	0.5	82.4	0.727	76.3
72	0:0	0.001	0.499	82.5	0.71	76.5
73	0:0	0.001	0.498	82.6	0.72	76.4
74	0:0	0.001	0.498	82.5	0.719	75.7
75	0:0	0.001	0.496	82.4	0.719	76.4
76	0:0	0.001	0.495	82.6	0.721	76.2
77	0:0	0.001	0.497	82.4	0.727	75.7
78	0:0	0.001	0.497	82.7	0.715	76.2
79	0:0	0.001	0.494	82.6	0.72	76.5
80	0:0	0.001	0.494	82.4	0.731	76.0
81	0:0	0.001	0.494	82.6	0.705	76.6
82	0:0	0.001	0.492	82.5	0.712	76.7
83	0:0	0.001	0.491	82.6	0.72	76.0
84	0:0	0.001	0.49	82.7	0.709	76.5
85	0:0	0.001	0.488	82.8	0.719	75.8
86	0:0	0.001	0.488	82.9	0.728	75.7
87	0:0	0.001	0.488	82.6	0.725	76.0
88	0:0	0.001	0.488	83.0	0.729	76.3
89	0:0	0.001	0.487	82.9	0.715	76.7
90	0:0	1e-05	0.486	82.8	0.726	76.1
91	0:0	0.0001	0.489	82.7	0.712	76.4
92	0:0	0.0001	0.486	82.9	0.725	76.2
93	0:0	0.0001	0.486	82.8	0.706	76.7
94	0:0	0.0001	0.487	82.7	0.724	76.0
95	0:0	0.0001	0.484	83.0	0.722	76.2
96	0:0	0.0001	0.488	82.8	0.717	76.0
97	0:0	0.0001	0.49	82.7	0.732	75.7
98	0:0	0.0001	0.487	82.6	0.725	76.2
99	0:0	0.0001	0.487	83.0	0.717	76.2
