epoch	time	lr	train loss	train acc	testloss	test acc
0	3.68	0.01	0.835	76.3	0.198	94.1
1	2.59	0.01	0.163	95.0	0.11	96.6
2	2.65	0.01	0.107	96.6	0.0797	97.6
3	2.66	0.01	0.0861	97.3	0.0668	97.9
4	2.59	0.01	0.0699	97.8	0.0569	98.2
5	2.84	0.01	0.0626	98.0	0.0521	98.3
6	2.62	0.01	0.0537	98.3	0.0473	98.5
7	2.77	0.01	0.0504	98.4	0.0542	98.2
8	2.77	0.01	0.0453	98.6	0.0488	98.4
9	2.84	0.01	0.0424	98.6	0.0467	98.5
10	2.82	0.01	0.0401	98.7	0.0628	98.0
11	3.07	0.01	0.0388	98.8	0.0426	98.6
12	2.79	0.01	0.0359	98.9	0.0361	98.8
13	2.74	0.01	0.0336	98.9	0.0401	98.7
14	2.98	0.01	0.0296	99.0	0.0422	98.5
15	2.83	0.01	0.0293	99.1	0.0381	98.7
16	2.9	0.01	0.0284	99.1	0.0352	98.8
17	2.7	0.01	0.0264	99.2	0.0328	98.9
18	2.61	0.01	0.0253	99.2	0.0348	98.7
19	2.42	0.01	0.0245	99.2	0.0328	98.9
20	2.74	0.01	0.0222	99.3	0.0329	99.0
21	2.6	0.01	0.0232	99.3	0.0388	98.7
22	2.69	0.01	0.0222	99.3	0.0382	98.8
23	2.56	0.01	0.0208	99.3	0.0349	98.8
24	2.48	0.01	0.0194	99.4	0.0307	99.0
25	2.51	0.01	0.0191	99.4	0.0355	98.8
26	2.58	0.01	0.0179	99.4	0.0334	98.9
27	2.47	0.01	0.0186	99.4	0.0359	98.8
28	2.75	0.01	0.017	99.4	0.0336	98.9
29	2.78	0.01	0.0162	99.5	0.0406	98.6
30	2.67	0.01	0.0151	99.5	0.0309	99.0
31	2.57	0.01	0.0152	99.5	0.0317	99.0
32	2.89	0.01	0.0141	99.5	0.0353	98.9
33	2.81	0.01	0.0147	99.5	0.0362	98.9
34	2.82	0.01	0.0136	99.6	0.0349	98.9
35	2.66	0.01	0.0141	99.6	0.0332	99.0
36	2.76	0.01	0.0137	99.6	0.0333	98.9
37	2.59	0.01	0.0132	99.6	0.0337	99.0
38	2.36	0.01	0.013	99.6	0.0338	98.9
39	2.39	0.01	0.0118	99.6	0.0367	98.9
40	2.6	0.01	0.0116	99.6	0.0322	99.0
41	2.56	0.01	0.0114	99.7	0.0366	98.8
42	2.79	0.01	0.0116	99.6	0.0369	98.8
43	2.61	0.01	0.0118	99.6	0.0304	99.1
44	2.54	0.01	0.0109	99.6	0.0357	98.9
45	2.59	0.01	0.0107	99.7	0.0309	99.0
46	2.36	0.01	0.0106	99.7	0.032	99.0
47	2.44	0.01	0.00991	99.7	0.0363	98.9
48	2.61	0.01	0.00913	99.7	0.0319	98.9
49	2.6	0.01	0.00961	99.7	0.0317	99.0
50	2.8	0.01	0.0101	99.7	0.0333	99.0
51	2.59	0.0001	0.00769	99.8	0.0276	99.2
52	2.39	0.001	0.00662	99.8	0.0327	99.0
53	2.66	0.001	0.00607	99.8	0.0328	99.0
54	2.52	0.001	0.00645	99.8	0.0307	99.1
55	2.6	0.001	0.00598	99.8	0.0295	99.1
56	2.45	0.001	0.006	99.8	0.0309	99.0
57	2.4	0.001	0.00579	99.8	0.0314	99.0
58	2.46	0.001	0.00576	99.8	0.0298	99.1
59	2.58	0.001	0.0062	99.8	0.0286	99.1
